Episode,Step,Reward,Epsilon,NumberOf_RandomAction_PerEpisode,NumberofUsing_Qnetwork_PerEpisode
0,500,-500.0,1.0,500,0
500,402,-401.0,0.7787520933134615,321,81
1000,145,-144.0,0.606454822840097,83,62
1500,120,-119.0,0.4722779627867691,58,62
2000,107,-106.0,0.3677874521460121,39,68
2500,70,-69.0,0.28641524825313086,12,58
3000,75,-74.0,0.22304647413401948,17,58
3500,70,-69.0,0.17369790863805412,9,61
4000,70,-69.0,0.13526760995605422,10,60
4500,81,-80.0,0.10533993441078586,14,67
5000,64,-63.0,0.0820336944319021,5,59
5500,64,-63.0,0.06388391126108031,3,61
6000,69,-68.0,0.04974972962361759,2,67
6500,63,-62.0,0.03874270608617077,1,62
7000,64,-63.0,0.03017096346523357,2,62
7500,79,-78.0,0.02349570095583451,4,75
8000,65,-64.0,0.018297326303223154,1,64
8500,77,-76.0,0.014249081160674432,2,75
9000,63,-62.0,0.011096501781668586,0,63
9500,63,-62.0,0.009995187929535779,1,62
10000,64,-63.0,0.009995187929535779,0,64
